Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_125,"membentuk memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory",80.0,90.0,90.0,86.66666666666667
siswa_126,"membentuk memory yang datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory",80.0,90.0,90.0,86.66666666666667
siswa_127,"membentuk memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory",80.0,90.0,90.0,86.66666666666667
siswa_128,"merupakan memory nan datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory",80.0,90.0,90.0,86.66666666666667
siswa_129,"merupakan memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory",80.0,90.0,90.0,86.66666666666667
siswa_130,"merupakan memory yang datanya angsal ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory",80.0,90.0,90.0,86.66666666666667
siswa_131,"Volatile membentuk memory nan datanya dapat ditulis serta dihapus, tetapi akan hilang jika tidak ada aliran listrik (kondisi mati/off) dan membutuhkan daya untuk mempertahankan memory.",88.0,100.0,90.0,92.66666666666667
siswa_132,"Volatile membentuk memory yang datanya dapat ditulis serta dihapus, tetapi akan hilang jika tidak ada aliran listrik (kondisi mati/off) dan membutuhkan daya untuk mempertahankan memory.",88.0,100.0,90.0,92.66666666666667
siswa_133,"Volatile merupakan memory nan datanya dapat ditulis serta dihapus, tetapi akan hilang jika tidak ada aliran listrik (kondisi mati/off) dan membutuhkan daya untuk mempertahankan memory.",88.0,100.0,90.0,92.66666666666667
siswa_134,"membentuk memory nan datanya angsal ditulis dan dihapus, tetapi dapat hilang saat kondisi power off",70.0,75.0,75.0,73.33333333333333
siswa_135,"membentuk memory nan datanya dapat ditulis dan dihapus, tetapi dapat hilang saat kondisi power off",70.0,75.0,75.0,73.33333333333333
siswa_136,"membentuk memory yang datanya angsal ditulis dan dihapus, tetapi dapat hilang saat kondisi power off",70.0,75.0,75.0,73.33333333333333
siswa_137,"membentuk memory yang datanya dapat ditulis dan dihapus, tetapi dapat hilang saat kondisi power off",70.0,75.0,75.0,73.33333333333333
siswa_138,"merupakan memory nan datanya angsal ditulis dan dihapus, tetapi dapat hilang saat kondisi power off",70.0,75.0,75.0,73.33333333333333
siswa_139,"merupakan memory nan datanya dapat ditulis dan dihapus, tetapi dapat hilang saat kondisi power off",70.0,75.0,75.0,73.33333333333333
siswa_140,"merupakan memory yang datanya angsal ditulis dan dihapus, tetapi dapat hilang saat kondisi power off",70.0,75.0,75.0,73.33333333333333
siswa_141,"Volatile memory membentuk memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_142,"Volatile memory membentuk memory yang datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_143,"Volatile memory merupakan memory nan datanya dapat ditulis serta dihapus,tetapi akan hilang saat kehilangan power (kondisi off) serta membutuhkan satu daya dalam mempertahankan memory.",80.0,90.0,90.0,86.66666666666667
siswa_144,memory paser cepak,8.0,15.0,10.0,11.0
siswa_145,memory paser pendek,8.0,15.0,10.0,11.0
siswa_146,memory jangka cepak,8.0,15.0,10.0,11.0
siswa_147,Pengertian topologi jala-jala komputer jinjing ialah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi.,0.0,0.0,0.0,1.0
siswa_148,Pengertian topologi jala-jala komputer jinjing adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi.,0.0,0.0,0.0,1.0
siswa_149,Pengertian topologi jala-jala komputer ialah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi.,0.0,0.0,0.0,1.0
siswa_150,Pengertian topologi jala-jala komputer adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi.,0.0,0.0,0.0,1.0
siswa_151,Pengertian topologi jaringan komputer jinjing ialah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi.,0.0,0.0,0.0,1.0
siswa_152,Pengertian topologi jaringan komputer jinjing adalah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi.,0.0,0.0,0.0,1.0
siswa_153,Pengertian topologi jaringan komputer ialah suatu cara atau konsep untuk menghubungkan beberapa atau banyak komputer sekaligus menjadi suatu jaringan yang saling terkoneksi.,0.0,0.0,0.0,1.0
siswa_154,Merupakan album nan bakal beterbangan datanya keika arus listrik dipadamkan,30.0,35.0,25.0,30.0
siswa_155,Merupakan album nan bakal hilang datanya keika arus listrik dipadamkan,30.0,35.0,25.0,30.0
siswa_156,Merupakan album nan akan beterbangan datanya keika arus listrik dipadamkan,30.0,35.0,25.0,30.0
siswa_157,Merupakan album nan akan hilang datanya keika arus listrik dipadamkan,30.0,35.0,25.0,30.0
siswa_158,Merupakan album yang bakal beterbangan datanya keika arus listrik dipadamkan,30.0,35.0,25.0,30.0
siswa_159,Merupakan album yang bakal hilang datanya keika arus listrik dipadamkan,30.0,35.0,25.0,30.0
siswa_160,Merupakan album yang akan beterbangan datanya keika arus listrik dipadamkan,30.0,35.0,25.0,30.0
