Jawaban tanpa Punctuation,Manual 1,Manual 2,Manual 3,Rata Manual
kiper adalah pemain yang menjaga gawang agar tidak gol bek adalah pemain yang menjaga garis pertahanan gelandang adalah pemain yang menghubungkan antara pertahanan dan garis penyerangan striker adalah pemain yang melakukan penyerangan menuju gawang lawan ,55.0,80.0,75.0,70.0
backstrikerkiper ,15.0,20.0,25.0,20.0
kiper sebagai penjaga gawang defender sebagai pertahan dari serangan lawan sayap kanankiri sebagai pengumpan dan streker sebagai penyerang ,40.0,55.0,50.0,48.333333333333336
1 striker 2 keeper 3 defend 4 sayap kanan dan kiri ,20.0,35.0,25.0,26.666666666666668
kiper untuk menjaga gawang  back untuk menjaga bagian lini belakang  striker bagian penyerang  sayap untuk membantu penyerang dan bertahan ,48.0,50.0,50.0,49.333333333333336
penyerang penjaga gawang pemain bertahan pemain tengah beck ,30.0,40.0,50.0,40.0
penyerang adalah seorang pemain yang berada di paling depan di area lawan dan bertujuan untuk mencetak gol gelandang adalah seorang pemain yang berada di area tengahtugasnya adalah memberikan bola untuk penyerangmembantu pertahanan dan bisa juga mencetak gol bek adalah seorang pemain yang berada di garis pertahanan dan tugasnya adalah melindungi gawang agar tidak kemasukan kiper adalah pemain yang menjaga gawang dan mencegah terjadinya gol,60.0,85.0,75.0,73.33333333333333
striker untuk menyerang lawan sayap kanan mengalang serangan dari kanan lapangan sayap kiri menghalang serangan dari kiri lapangan kiper sebagai penjaga gawang ,45.0,60.0,50.0,51.666666666666664
 goolkeeper adalah seorang pemain yang bertugas menjaga gawang nya dari serangan lawan  mieldfilder adalah pemain yang bertugas sebagai pengatur serangan dan pengatur serangan dari belakang menuju kedepan  centerback adalah pemain bertahan yang bertugas mengawal para penyerang dari tim lawan agar tidak memasukan bola ke tim kita  winger adalah pemain sayap yang bertugas melakukan serangan dari pinggir kanan dan pinggir kiri,55.0,80.0,75.0,70.0
keras  lunak  semangat lemas ,0.0,0.0,0.0,1.0
gelandang adalah pemain tengah bertugas memberikan bola dari tengah ke depan sayap kanan bertugas menguasai daerah kanan lapangan sayap kiri bertugas menguasai daerah kiri lapangan kiper bertugas untuk menjaga gawang ,50.0,80.0,75.0,68.33333333333333
pemain belakang disebut bek pemain tengah disebut gelandang pemain depan disebut penyerang pemain kiri atau kanan disebut sayap ,39.0,40.0,50.0,43.0
penjaga gawang seorang pemain yang berada pada barisan pertama dan memiliki empat peranan utama saving clearing mengarahkan pertahanan dan mendistribusikan bola pemain bertahan bertugas melindungi kiper center back dua bek yang berada ditengah bek sayap dapat bergerak maju hingga gawang lawan,48.0,70.0,50.0,56.0
penjaga gawang back gelandang penyerang ,18.0,30.0,25.0,24.333333333333332
striker kipper gelandang tengah gelandang sayap penyerang,26.0,30.0,25.0,27.0
striker  penyerang back  pertahanan sayap kiri kanan  membantu penyerangan pemain tengah  membantu skema penyerangan ,22.0,60.0,50.0,44.0
kiper sebagai penjaga gawang back sebagai pertahanan gelandang untuk membantu penyerangan dan striker sebagai penyerang utama ,38.0,70.0,50.0,52.666666666666664
penjaga gawang pemain belakang gelandang penyerang pemain penjaga ,30.0,30.0,25.0,28.333333333333332
goalkeeper bertugas menjaga gawang agar tak kebobolan defender  membantu kiper dalam menghalau bola agar tak masuk ke daerah pertahanan midfielder  bertugas sebagai penguasa lini tengah mengatur ritme permainan membantu penyerangan membantu pertahanan striker  mencetak gol,50.0,70.0,75.0,65.0
 kiper  wasit  back  glandang pemain,18.0,10.0,10.0,12.666666666666666
 bek  gelandang  kiper  penyerang,22.0,30.0,25.0,25.666666666666668
kiper bek gelandang penyerang,22.0,30.0,25.0,25.666666666666668
striker sebagai penyerang sayap gelandang back sebagai pemain bertahan kiper sebagai penjaga gawang ,30.0,50.0,50.0,43.333333333333336
penjaga gawang goal keeper kiper termasuk pemain yang bergerak di garis belakang tidak ada tugas khusus dari kiper kecuali sebagai palang pintu terakhir dari gawang beberapa pemain dunia yang bermain di posisi ini antara lain iker cassilas gianluigi buffon dan edwin van der sar bek centre back berada di garis belakang biasanya posisi ini berada tepat di depan kiper yang menjalankan posisi ini bisa dua atau tiga orang sesuai formasi tim dalam permainan posisi ini bisa divariasikan menjadi ball playing defender sweeper libero atau limited defender beberapa pemain dunia yang bermain di posisi ini antara lain nemanja vidic rio ferdinand dan charles puyol bek sayap wing back berada di garis belakang wing back berposisi di bagian kanan atau kiri luar lapangan tugasnya adalah membantu penyerangan lewat sayap dan cepat kembali ke posisi semula bila tim sedang diserang oleh karena itu kita sering melihat seorang wing back ikut berada di dekat gawang lawan dalam skema penyerangan dalam kondisi tertentu posisi ini bisa divariasikan menjadi full back beberapa pemain dunia yang bermain di posisi ini antara lain ashley cole javier zanetti dan daniel alves pemain tengah central midfielder pemain ini beroperasi di garis tengah yang menjalankan posisi ini bisa dua atau tiga orang sesuai formasi tim dalam permainan posisi ini bisa divariasikan menjadi box to box midfielder dan advanced playmaker beberapa pemain dunia yang bermain di posisi ini antara lain xavi hernandez stephen gerrard dan cesc fabregas,30.0,30.0,25.0,28.333333333333332
penjagga gawang bek gelandang penyerang ,18.0,30.0,25.0,24.333333333333332
kiper adalah penjaga gawang striker adalah pemain menyerang gelandang adalah pemain tengah pemain bertahan adalah pemain di depan kiper,45.0,50.0,50.0,48.333333333333336
 penjaga gawang posisi penjaga gawang adalah posisi dengan kemampuan khusus  tugas seorang penjaga gawang adalah mencegah bola masuk ke gawang penjaga gawang seringkali menjadi palang pintu terakhir bagi lawan sebelum memasukkan bola ke gawang penjaga,38.0,30.0,25.0,31.0
penjaga gawangpemain tengahpemain serangwasit ,20.0,15.0,25.0,20.0
 keeper menjaga daerah gawang agar tidak kemasukan bola dan memakai kedua tangan untuk menangkap bola  defender menjaga daerah pertahanan agar pemain lawan tidak sampai ke daerah gawang  mildfinder menjaga daerah tengah bertugas untuk membantu dalam penyerangan ataupun pertahanan  striker bertugas untuk mencetak goal di gawang lawan,48.0,75.0,50.0,57.666666666666664
 penjaga gawang adalah seorang yang harus menjaga gawang dari kebobolan dan boleh menggunakan tangan  defender adalah seorang yang menjaga striker lawan  midfender adalah seorang yang memulai serangan  striker adalah seorang yang harus mencetak gol ke gawang lawan,45.0,75.0,50.0,56.666666666666664
penjaga gawang adalah seorang yang harus menjaga gawang dari kebobolan dan boleh menggunakan tangan defender adalah seorang yang menjaga striker lawan midfender seorang yang memulai serangan striker seorang yang harus mencetak gol ke gawang lawan,43.0,75.0,50.0,56.0
striker merupakan pemain serang defence merupakan bek bertahan goal kiper merupakan penjaga gawang winger merupakan gelandang serang ,40.0,50.0,50.0,46.666666666666664
kiper menjaga gawang bek menjaga belakang striker menyerang libero menahan bola jika kiper sudah tidak sanggup,35.0,30.0,25.0,30.0
goal keeper yaitu pemain yang menjaga gawang center back yaitu pemain bertahan midfielder yaitu pemain tengah striker yaitu pemain depan atau penyerang ,38.0,60.0,50.0,49.333333333333336
striker atau penyerang yang bertugas untuk memasukkan bola ke gawang lawan midfielder atau gelandang yang bertugas sebagai penjaga daerah tengah lapangan dan bertugas mengalirkan bola atau memberi umpan kepada penyerang defender atau bek yang bertugas menjaga daerah sekita gawang dari serangan lawan keeper atau kiper yang betugas untuk menjaga gawang ,45.0,78.0,75.0,66.0
bek kiper gelandang sayap penyerang ,18.0,35.0,25.0,26.0
 striker  penyerang depan  sayap kanan  bagian penyerang untuk mengoper pada bagian sebelah kanan  sayap kiri  bagian penyerang untuk mengoper pada bagian sebelah kiri  bek kanan  bagian menahan bola dari lawan agar tidak kemasukan goal  kiper  menjaga gawang,42.0,55.0,50.0,49.0
kipper menjaga gawang  back menahan bola  striker penyerang  gelandang mengatur permainan ,28.0,50.0,50.0,42.666666666666664
kiper  penjaga gawang defender  pemain bertahan midfielder  pemain gelandang yang membantu defender atau striker striker  pemain depan yang tugas utamanya mencetak gol ke gawang lawan ,54.0,55.0,50.0,53.0
striker penjaga gawang pertahanan penyerang ,28.0,35.0,25.0,29.333333333333332
pemain belakang pemain sayap pemain depan dan goal keeper ,30.0,35.0,25.0,30.0
striker goal keeper back wings ,20.0,35.0,25.0,26.666666666666668
 keeper menjaga gawang  back menjaga dalam  striker untuk menyerang  sayap untuk keseimbangan,38.0,45.0,50.0,44.333333333333336
kiper adalah pemain penjaga gawang back adalah pemain pertahanan striker adalah pemain penyerang forward adalah pemain sayap,48.0,45.0,50.0,47.666666666666664
