Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_12 ,"Cristiano Ronaldo bernama asli Cristiano Ronaldo dos Santos Aveiro. Lahir 5 February 1985 di Santo Antonio, Portugal. Klub saat ini adalah Real Madrid. Klub sebelumnya adalah Manchester United. Nomor punggung adalah 7. Sebutanya adalah CR7. ",50.0,55.0,50.0,51.666666666666664
siswa_14 ,"lahir di Madeira berkebangsaan Portugal , untuk saat ini pemain di read madrid nomer punggung 7 ",30.0,40.0,50.0,40.0
siswa_16 ,"lahir di madrid,club real madrid ",20.0,25.0,25.0,23.333333333333332
siswa_17 ,sebutan CR merupakan idaman banyak negara ia lahir di negara tetangga indonesia (jerman). selebihnya belum tau. ,25.0,10.0,25.0,20.0
siswa_18 ,CR7 itulah julukan yang dimiliki oleh Christiano Ronaldo. Pemain berkebangsaan Portugal ini sekarang bersama dengan tim Real Madrid ,42.0,40.0,50.0,44.0
siswa_19 ,"cristiano ronaldo yang lahir di portugal berkebangsaan portugal , klub saat ini adalah real madrid , klub sebelumnya adalah mancester united , bernomor punggu 7 dan sebutannya CR7 ",68.0,70.0,75.0,71.0
siswa_20 ,"Cristiano Ronaldo dos Santos Aveiro lahir di Funchal, Madeira, Portugal, 5 Februari 1985 merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United Dia memakai nomor punggung 7 , sebelumnya dia memakai nomer punggung 9 ",80.0,85.0,90.0,85.0
siswa_22 ,-Cristiano Ronaldo lahir di Portugal dan saat ini berusia 31 tahun -Salah satu pemain penting negara Portugal -Klub profesional pertama yang dibela adalah Sporting Lisbon -Pernah bergabung dengan Manchester United dan menggunakan nomor punggung 7 -Dikenal,65.0,65.0,75.0,68.33333333333333
siswa_24 ,"lahir di portugal 5 februari 1985, team saat ini real madrid, team sebelumnya MU, no punggung 7 dan sebutannya CR7 ",20.0,30.0,25.0,25.0
siswa_25 ,"cristiano ronaldo lahir pada 17 mei 1980 lahir di sporting portugal, klub saat ini adalah real madrid , dan klub sebelumnya adalah manchester united . dengan nomer punggung 7 kemudian cristioano ronaldo seting dijuluki CR 7 (CR SEVEN ) ",55.0,60.0,50.0,55.0
siswa_26 ,"pemain bola , lahir di portugal ",20.0,25.0,25.0,23.333333333333332
siswa_27 ,"Cristiano Ronaldo dos Santos Aveiro, OIH (lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7, gabungan dari inisial nama dan nomor punggungnya. ",80.0,85.0,90.0,85.0
siswa_28 ,"lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7, gabungan dari inisial nama dan nomor punggungnya. Dia memakai nomor punggung 7 di United, yang sebelumnya dikenakan oleh Johnny Berry, George Best, Steve Coppell, Bryan Robson, Eric Cantona dan David Beckham. Setelah menghabiskan tahun pertamanya di Madrid mengenakan nomor punggung 9, ia mulai mengenakan nomor 7 lagi menyusul kepergian pemain legendaris Raul Gonzalez. Segudang prestasi telah berhasil dia raih. Cristiano Ronaldo berhasil meraih gelar FIFA Ballon D’Or di bulan Januari 2015 lalu yang diadakan di markas FIFA Zurich, Swiss. Gelar FIFA Ballon D’Or ini merupakan penghargaan ketiga bagi Ronaldo, setelah sebelumnya pada tahun 2013 lalu dan 2008 ketika masih berseragam Manchester United. ",85.0,88.0,90.0,87.66666666666667
siswa_33 ,Cristiano Ronaldo lahir 5 februari 1985 Kebangsaan Portugal Klub saat ini Real madrid Nomor punggung 7 Sebutan CR7 ,40.0,50.0,50.0,46.666666666666664
siswa_34 ,"-tempat lahir di Funchal, Madeira, Portugal -kebangsaan Portugal -klub saat ini adalah Real Madrid -klub sebelumnya adalah Manchester United -nomor punggung 7 -sebutannya CR7 ",48.0,50.0,50.0,49.333333333333336
siswa_35 ,"Yang saya tahu mengenai Cristiano Ronaldo tidak banyak yakni beliau adalah atlet pemain sepak bola, kebangsaan Inggris ",30.0,20.0,25.0,25.0
siswa_36 ,"cristiano ronaldo adalah seorang pemain bola yang lahir di portugal, lahir pada tanggal 5 februari 1985 posisi bermain penyerang, sayap kiri. klub yang di ikuti saat ini real madrid dengan nomor punggung 7 ",67.0,78.0,75.0,73.33333333333333
siswa_37 ,"cristiano ronaldo adalah pemain sepakbola dunia yang lahir tanggal 5 februari 1985, berkebangsaan portugal, saat ini di klub real madrid setelah resign dari klub manchester united, dengan nomor punggung 7 dengan sebutan CR7. ",70.0,78.0,75.0,74.33333333333333
siswa_38 ,Cristiano Ronaldo adalah pemain sepakbola berasal dari tempat yang jauh dari Indonesia yang sekarang ada di klub sepak bola baru karena dia keluar dari klub sepakbolanya yang lama dengan nomor punggung yang bergonta ganti seperti nomor ponsel pacar saya dan dia biasanya disebut pemain terganteng tapi masih lebih ganteng saya daripada dia. ,10.0,5.0,10.0,8.333333333333334
siswa_39 ,"-CR7 lahir di Madeira, Portugal. -Klub saat ini Real Madrid. -Klub sebelumnya MU. (sebelum di MU, di klub Sporting Lisbon) -Nomor punggung 7,( pernah menggunakan nomor punggung 9 di Real Madrid) -sebutan : CR7 ",60.0,70.0,75.0,68.33333333333333
siswa_40 ,"Club Real Madrid, Manchester United 7 ",30.0,35.0,25.0,30.0
siswa_41 ,"lahir 5 februari di madeira portugal. berkebangsaan portugal. klub saat ini Real Madrid, klub sebelumnya Manchester United, nomor punggung 7, sebutannya CR7. ",50.0,50.0,50.0,50.0
siswa_42 ,"Cristiano Ronaldo merupakan atlet sepakbola asal portugas, Cristiano Ronaldo saat ini membela klub Real Madrid FC, Cristiano Ronaldo sebelumnya membela klub Manchester United, Cristiano Ronaldo menggunakan nomor punggung 7, Cristiano Ronaldo memiliki sebutan CR7. ",65.0,60.0,75.0,66.66666666666667
siswa_43 ,"cristiano ronaldo berkebangsaan portugal, saat ini bermain di real madrid, bernomor punggung 7, club sebelumnya adalah manchaster united ",40.0,50.0,50.0,46.666666666666664
siswa_44 ,"Cristiano Ronaldo dos Santos Aveiro, OIH (lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7, gabungan dari inisial nama dan nomor punggungnya. Dia memakai nomor punggung 7 di United ",70.0,78.0,75.0,74.33333333333333
siswa_45 ,"Cristiano Ronaldo dos Santos Aveiro, OIH (lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7, gabungan dari inisial nama dan nomor punggungnya.Dia memakai nomor punggung 7 di United ",70.0,78.0,75.0,74.33333333333333
siswa_46 ,"Cristiano Ronaldo merupakan bintang real madrid. Tempat Lahir Funchal Madeira Portugal, Tanggal Lahir 5 Februari 1985, kebangsaan Portugal, klub saat ini Real madrid, klub sebelumnya Manchester United, nomor punggung 7, sebutan CR& ,Agama Katolik, Zodiac Aquarius. ",55.0,60.0,50.0,55.0
siswa_47 ,"Cristiano Ronaldo dos Santos Aveiro, OIH (lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7, gabungan dari inisial nama dan nomor punggungnya. Dia memakai nomor punggung 7 di United, yang sebelumnya dikenakan oleh Johnny Berry, George Best, Steve Coppell, Bryan Robson, Eric Cantona dan David Beckham. Setelah menghabiskan tahun pertamanya di Madrid mengenakan nomor punggung 9, ia mulai mengenakan nomor 7 lagi menyusul kepergian pemain legendaris Raul Gonzalez. Segudang prestasi telah berhasil dia raih. Cristiano Ronaldo berhasil meraih gelar FIFA Ballon D’Or di bulan Januari 2015 lalu yang diadakan di markas FIFA Zurich, Swiss. Gelar FIFA Ballon D’Or ini merupakan penghargaan ketiga bagi Ronaldo, setelah sebelumnya pada tahun 2013 lalu dan 2008 ketika masih berseragam Manchester United. ",70.0,78.0,75.0,74.33333333333333
siswa_48 ,"Cristiano Ronaldo merupakan seorang pemain sepak bola,funchal,Real Mandrid,Portugal,10,ronaldo ",35.0,40.0,50.0,41.666666666666664
siswa_49 ,"nama lengkap Cristiano Ronaldo dos Santos Aveiro, lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. posisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7, gabungan dari inisial nama dan nomor punggungnya. Dia memakai nomor punggung 7 di United, yang sebelumnya dikenakan oleh Johnny Berry, George Best, Steve Coppell, Bryan Robson, Eric Cantona dan David Beckham. Setelah menghabiskan tahun pertamanya di Madrid mengenakan nomor punggung 9, ia mulai mengenakan nomor 7 lagi menyusul kepergian pemain legendaris Raul Gonzalez. Segudang prestasi telah berhasil dia raih. Cristiano Ronaldo berhasil meraih gelar FIFA Ballon D’Or di bulan Januari 2015 lalu yang diadakan di markas FIFA Zurich, Swiss. Gelar FIFA Ballon D’Or ini merupakan penghargaan ketiga bagi Ronaldo, setelah sebelumnya pada tahun 2013 lalu dan 2008 ketika masih berseragam Manchester United. ",70.0,78.0,75.0,74.33333333333333
siswa_50 ,"Cristiano Ronaldo lahir di Lisbon, Portugal. Klub yang saat ini dibela adalah real madrid dan sebelumnya cristiano ronaldo membela klub manchester united, nomer yang digunakan adalah tujuh sehingga memiliki sebutan CR SEVEN ",55.0,60.0,75.0,63.333333333333336
siswa_51 ,"cristiano ronaldo lahir di lisbon Portugal. klub yang saat ini dibela ada real madrid dan sebelum di real madrid cristiano ronaldo membela klub manchester united, nomer yang digunakan adalah 7 sehingga memiliki sebutan CR7 ",58.0,40.0,50.0,49.333333333333336
siswa_52 ,"lahir di portugal, kebangsaan portugal, real madrid, manchester united, 7 dan cr7 ",40.0,45.0,50.0,45.0
siswa_53 ,"cristiano ronaldo adalah pemain sepakbola, berasal dari portugal yang dulu pernah bergabung dengan nankatsu dan merupakan pasangan emas dari tsubasa dan misaki, dan berhasil mengalahkan hyuga dari toho dengna skor 50-0. Ronaldo bergabung dangan nankatsu karena dia sadar bahwa BOLA ADALAH TEMAN ",20.0,5.0,25.0,16.666666666666668
siswa_54 ,"Cristiano Ronaldo lahir 5 Februari 1985, kebangsaan Portugal, klub saat ini Real Madrid, Klub sebelumnya Manchester United, no punggung 7 dan sebutannya adalah CR-7. ",58.0,60.0,50.0,56.0
siswa_55 ,"Ronaldo lahir di Madeira, Portugal pada 05 februari 1985, dan memiliki klub di Real Madrid dengan nomer punggung 7 dan dikenal sebagai CR7 ",51.0,57.0,50.0,52.666666666666664
siswa_56 ,"Nama lengkap : Cristiano Ronaldo dos Santos Aveiro Tempat tanggal lahir : Funchal, Madeira, Portugal, 5 Februari 1985 Tinggi badan : 1.86 m (6 ft 1 in) Posisi bermain : Sayap kanan, Penyerang Main di klub : Real madrid Main di tim nasional : Portugal Nomor punggung : 7 ",60.0,65.0,75.0,66.66666666666667
siswa_57 ,"lahir : 5 februari 1985 madera portugal bangsa : portugal , klub : real madri , klub sebelum : manchaster united , no.punggung : 7 , sebutanya : CR seven ",58.0,65.0,75.0,66.0
siswa_58 ,"Cristiano Ronaldo Lahir Portugal, 5 Februari 1985 kebangsaan Portugal klub saat ini Real Madrid Klub sebelumnya Manchester United no 7 julukannya CR7 ",60.0,65.0,75.0,66.66666666666667
siswa_59 ,"cristiano ronaldo lahir di lisbon, berkebangsaan portugal. pernah bermain di sporting lisbon, manchester united, dan sekarang bermain di real madrid. nomer punggung yang biasa digunakan adalah 7 dan sebutannya CR7 ",70.0,65.0,75.0,70.0
siswa_60 ,anggota klub bola ,5.0,5.0,10.0,6.666666666666667
siswa_61 ,"Lahir di Portugal kebangsaan Portugal Real Madrid, dahulu di Manchester United nomor Punggung 7 CR7 ",48.0,40.0,50.0,46.0
siswa_62 ,portugal. real madrid. manchester united. 7. cr7. ,43.0,30.0,50.0,41.0
siswa_63 ,"ronaldo lahir di brazil, dan menjadi timnas brazil ",10.0,10.0,10.0,10.0
siswa_64 ,cristiano ronaldo adalah pemain sepak bola asal portugal yang sekarang membela real madrid yang dahulunya mantan pemain manchester united. pemain ini bernomor punggung 7 ,48.0,50.0,50.0,49.333333333333336
siswa_65,"Christiano Ronaldo terlahir cak atas asma lengkap Cristiano Ronaldo dos Santos Aveiro, lahir pada tanggal 5 Februari 1985 di Funchal adalah seorang pemain sepakbola berkebangsaan Portugal. Saat ini ia bemain di klub Real Madrid di posisi sayap kiri. Nomor punggung 28",40.0,60.0,50.0,50.0
siswa_66,"Christiano Ronaldo terlahir cak atas nama lengkap Cristiano Ronaldo dos Santos Aveiro, lahir pada tanggal 5 Februari 1985 di Funchal adalah seorang pemain sepakbola berkebangsaan Portugal. Saat ini ia bemain di klub Real Madrid di posisi sayap kiri. Nomor punggung 28",40.0,60.0,50.0,50.0
siswa_67,"Christiano Ronaldo terlahir dengan asma lengkap Cristiano Ronaldo dos Santos Aveiro, lahir pada tanggal 5 Februari 1985 di Funchal adalah seorang pemain sepakbola berkebangsaan Portugal. Saat ini ia bemain di klub Real Madrid di posisi sayap kiri. Nomor punggung 28",40.0,60.0,50.0,50.0
siswa_68,"Cristiano Ronaldo boks Santos Aveiro (lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7, gabungan dari inisial nama dan nomor punggungnya",90.0,90.0,90.0,90.0
siswa_69,jebrol dalam portugal demi ahli negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_70,jebrol dalam portugal demi warga negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_71,jebrol dalam portugal sebagai ahli negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_72,jebrol dalam portugal sebagai warga negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_73,jebrol di portugal demi ahli negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_74,jebrol di portugal demi warga negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_75,jebrol di portugal sebagai ahli negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_76,jebrol di portugal sebagai warga negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_77,lahir dalam portugal demi ahli negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_78,lahir dalam portugal demi warga negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_79,lahir dalam portugal sebagai ahli negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_80,lahir dalam portugal sebagai warga negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_81,lahir di portugal demi ahli negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_82,lahir di portugal demi warga negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_83,lahir di portugal sebagai ahli negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7,48.0,60.0,50.0,52.666666666666664
siswa_84,"Lahir dalam Santo Antonio, Portugal 5 Februari 1985. Saat ini berada di klub Real Madrid, dan klub sebelumnya adalah Manchester United. Pada saat di MU bernomor punggung 7 dan di Real Madrid 7.",72.0,73.0,75.0,73.33333333333333
siswa_85,aktor melampang bal cak membela,10.0,5.0,10.0,8.333333333333334
siswa_86,aktor melampang bal pro,10.0,5.0,10.0,8.333333333333334
siswa_87,aktor melampang bola cak membela,10.0,5.0,10.0,8.333333333333334
siswa_88,aktor melampang bola pro,10.0,5.0,10.0,8.333333333333334
siswa_89,aktor sepak bal cak membela,10.0,5.0,10.0,8.333333333333334
siswa_90,aktor sepak bal pro,10.0,5.0,10.0,8.333333333333334
siswa_91,aktor sepak bola cak membela,10.0,5.0,10.0,8.333333333333334
siswa_92,aktor sepak bola pro,10.0,5.0,10.0,8.333333333333334
siswa_93,pemain melampang bal cak membela,10.0,5.0,10.0,8.333333333333334
siswa_94,pemain melampang bal pro,10.0,5.0,10.0,8.333333333333334
siswa_95,pemain melampang bola cak membela,10.0,5.0,10.0,8.333333333333334
siswa_96,pemain melampang bola pro,10.0,5.0,10.0,8.333333333333334
siswa_97,pemain sepak bal cak membela,10.0,5.0,10.0,8.333333333333334
siswa_98,pemain sepak bal pro,10.0,5.0,10.0,8.333333333333334
siswa_99,pemain sepak bola cak membela,10.0,5.0,10.0,8.333333333333334
siswa_100,"Cristiano Ronaldo boks Santos Aveiro, OIH (lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7. Klub Cristiano Ronaldo saat ini ada di Real Madrid.",85.0,88.0,90.0,87.66666666666667
siswa_101,"cristiano ronaldo jebrol dalam portugal, 5 februari 1985, berkebangsaan portugal, bernomor punggung 7, mengikuti klub manchester united dan real madrid,",70.0,70.0,75.0,71.66666666666667
siswa_102,"cristiano ronaldo jebrol di portugal, 5 februari 1985, berkebangsaan portugal, bernomor punggung 7, mengikuti klub manchester united dan real madrid,",70.0,70.0,75.0,71.66666666666667
siswa_103,"cristiano ronaldo lahir dalam portugal, 5 februari 1985, berkebangsaan portugal, bernomor punggung 7, mengikuti klub manchester united dan real madrid,",70.0,70.0,75.0,71.66666666666667
siswa_104,"Cristiano Ronaldo boks Santos Aveiro, OIH (lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7, gabungan dari inisial nama dan nomor punggungnya.",75.0,79.0,75.0,76.33333333333333
siswa_105,"Cristiano Ronaldo boks Santos Aveiro, OIH atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah Lahir: 5 Februari 1985, Santo António, Portugal Anak: Cristiano Ronaldo Jr. Tim saat ini: Real Madrid c F Tim nasional sepak bola Portugal Penghargaan: Ballon d Or Sepatu Emas Eropa, lainnya",40.0,55.0,50.0,48.333333333333336
siswa_106,"Nama bersih : Cristiano Ronaldo dos Santos Aveiro Tanggal lahir : 05 Februari 1985 Lahir di : Funchal, Madeira, Portugal Zodiac : Aquarius Terkenal sejak bergabung di klub ""Sporting Clube de Portugal"" (1997 - 2003)",30.0,55.0,50.0,45.0
siswa_107,"Cristiano Ronaldo bercap bersih Cristiano Ronaldo dos Santos Aveiro. Lahir 5 February 1985 di Santo Antonio, Portugal. Klub saat ini adalah Real Madrid. Klub sebelumnya adalah Manchester United. Nomor punggung adalah 7. Sebutanya adalah CR7.",50.0,55.0,50.0,51.666666666666664
siswa_108,"Cristiano Ronaldo bercap asli Cristiano Ronaldo dos Santos Aveiro. Lahir 5 February 1985 di Santo Antonio, Portugal. Klub saat ini adalah Real Madrid. Klub sebelumnya adalah Manchester United. Nomor punggung adalah 7. Sebutanya adalah CR7.",50.0,55.0,50.0,51.666666666666664
siswa_109,"Cristiano Ronaldo bernama bersih Cristiano Ronaldo dos Santos Aveiro. Lahir 5 February 1985 di Santo Antonio, Portugal. Klub saat ini adalah Real Madrid. Klub sebelumnya adalah Manchester United. Nomor punggung adalah 7. Sebutanya adalah CR7.",50.0,55.0,50.0,51.666666666666664
siswa_110,"jebrol dalam Madeira berkebangsaan Portugal , untuk saat ini pemain di read madrid nomer punggung 7",30.0,40.0,50.0,40.0
siswa_111,"jebrol di Madeira berkebangsaan Portugal , untuk saat ini pemain di read madrid nomer punggung 7",30.0,40.0,50.0,40.0
siswa_112,"lahir dalam Madeira berkebangsaan Portugal , untuk saat ini pemain di read madrid nomer punggung 7",30.0,40.0,50.0,40.0
siswa_113,"jebrol dalam madrid,club real madrid",20.0,25.0,25.0,23.333333333333332
siswa_114,"jebrol di madrid,club real madrid",20.0,25.0,25.0,23.333333333333332
siswa_115,"lahir dalam madrid,club real madrid",20.0,25.0,25.0,23.333333333333332
siswa_116,gelar CR membentuk angan-angan belacak negara ia lahir di negara tetangga indonesia (jerman). selebihnya belum tau.,25.0,10.0,25.0,20.0
