Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
1tenaga 2energi 3makanan 4nasi,15.0,15.0,10.0,13.333333333333334
ntuk menambah energ,0.0,10.0,25.0,11.666666666666666
tubuh tahan banting tubuh bugar badan lemas sehat,5.0,5.0,10.0,6.666666666666667
sumber tenaga sumber kalori membentuk massa otot memperkuat tulang,10.0,10.0,25.0,15.0
tenaga kesehatan tulang tubuh,10.0,5.0,10.0,8.333333333333334
nutrisi tubuh menambah kekuatan mochi macho,5.0,0.0,10.0,5.0
tenaga mengganjel perut kesehatan kelaparan,15.0,20.0,50.0,28.333333333333332
1 menambah tenaga,5.0,10.0,25.0,13.333333333333334
tenaga,5.0,10.0,25.0,13.333333333333334
1 sumber energi tubuh 2 mengendalikan berat badan 3 karbohidrat mencegah penyakit 4 memelihara kesehatan jantung 5 mendukung fungsi pencernaan 6 meningkatkan penyerapan nutrisi 7 mencegah kerusakan jaringan otot 8 mengatur kenaikan kadar gula darah 9 mencukupi kebutuhan fitonutrien 10 mendukung fungsi otak 11 mengatasi kecemasan,35.0,50.0,85.0,56.666666666666664
karbohidrat salah komponen sumber tenaga tubuh,12.0,25.0,25.0,20.666666666666668
kegunaan karbohidrat sumber energi pengendalian berat badan pencegahan penyakit,10.0,20.0,25.0,18.333333333333332
karbohidrat nutrisi tubuh sumber energi glukosa tenaga cadangan,20.0,25.0,25.0,23.333333333333332
karbohidrat sumber energi tubuh manusia,18.0,15.0,25.0,19.333333333333332
karbohidrat berfungsi energi tubuh membakar karbohidrat kalori,25.0,25.0,25.0,25.0
menambah energi kenyang gemuk,20.0,15.0,60.0,31.666666666666668
sumber energi tubuh,15.0,15.0,25.0,18.333333333333332
sumber energi tubuh mengendalikan berat badan,10.0,10.0,25.0,15.0
sumber energi tubuh mengendalikan berat badan karbohidrat mencegah penyakit memelihara kesehatan jantung mendukung fungsi pencernaan meningkatkan penyerapan nutrisi mencegah kerusakan otot mengatur kenaikan kadar gula darah mencukupi kebutuhan fitonutrien mendukung fungsi otak mengatasi kecemasan,40.0,50.0,70.0,53.333333333333336
sumber energi tubuh,15.0,15.0,25.0,18.333333333333332
energi,8.0,10.0,10.0,9.333333333333334
kegunaan karbohidrat tubuh sumber energi tubuh aktivitas sehari,20.0,25.0,25.0,23.333333333333332
karbohidrat memiliki bermacammacam manfaat sumber energi tubuh mengendalikan berat badan mendukung fungsi pencernaan mengatur kenaikan kadar gula darah melancarkan fungsi pencernaan,50.0,50.0,75.0,58.333333333333336
karbohidrat berguna pemberi energi tubuh memiliki tenaga aktivitas sehari,22.0,25.0,25.0,24.0
peran proses metabolisme proses berfungsi penyeimbang asam basa tubuh proses membentuk jaringan sel struktur organorgan tubuh karbohidrat mencegah,43.0,30.0,25.0,32.666666666666664
kegunaannya pemasok energi 1 gram karbohidrat menghasilkan 4 kkalori proses pembakaran kimiawi tubuh sumber energi,28.0,25.0,25.0,26.0
sumber energi tubuh mengendalikan berat badan karbohidrat mencegah penyakit memelihara kesehatan jantung mendukung fungsi pencernaan meningkatkan penyerapan nutrisi mencegah kerusakan jaringan otot mengatur kenaikan kadar gula darah mencukupi kebutuhan fitonutrien mendukung fungsi otak mengatasi kecemasan,41.0,50.0,70.0,53.666666666666664
kegunaan karbohidrat sumber energi tubuh melaksanakan aktivitas lancar,19.0,23.0,25.0,22.333333333333332
mangan,0.0,0.0,10.0,3.3333333333333335
penambah stamina tubuh pencernaan,21.0,20.0,10.0,17.0
menggantikan energi terkuras,9.0,10.0,25.0,14.666666666666666
sumber energi,10.0,10.0,25.0,15.0
karbohidrat tubuh berguna sumber tenaga penyuplai energi badan segar bertenga,22.0,15.0,25.0,20.666666666666668
manfaat karbohidrat utama sumber energi tubuh,19.0,20.0,25.0,21.333333333333332
tubuh bersemangat sehat kuat,10.0,10.0,10.0,10.0
karbohidrat menambah energi tubuh,19.0,15.0,25.0,19.666666666666668
asupan menambah energi mengatur kestabilan tubuh dikonsumsi,30.0,20.0,50.0,33.333333333333336
suplay energi,8.0,13.0,25.0,15.333333333333334
peran proses metabolisme proses berfungsi penyeimbang asam basa tubuh proses membentuk jaringan sel struktur organorgan tubuh karbohidrat mencegah ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat utama pemasok energi 1 gram karbohidrat menghasilkan 4 kkalori proses pembakaran kimiawi tubuh sumber energi makanan berkarbohidrat serat membantu memperlancar proses pencernaan sifat kandungan karbohidrat manis fungsi karbohidrat kali pemanis alami kandungan monosakarida disakarida fungsi karbohidrat berperan mengoptimalkan kerja protein tubuh mengalami kekurangan asupan karbohidrat protein menggantikan fungsi karbohidrat penghasil energi zat pembentuk tubuh,78.0,70.0,90.0,79.33333333333333
tubuh lapar,12.0,18.0,25.0,18.333333333333332
karbohidrat berguna menambah energi tubuh,19.0,15.0,25.0,19.666666666666668
karbohidrak tubuh manusia berguna energi tubuh,23.0,15.0,25.0,21.0
