Jawaban Tanpa Negasi Not Token,Manual 1,Manual 2,Manual 3,Rata Manual
mendengarkan musik menenangkan tertawa meningkatkan suasana hati mood kesejahteraan mengobrol berbicara temanteman situasi dialami mencium menyenangkan aroma terapi tidur siang melamun jangka singkat mengalihkan pandangan makan makanan ringan,60.0,55.0,50.0,55.0
berdoa mengawali pekerjaan makan teratur minum teratur istirahatkan badan capek istirahatkan mata pedih tidur malam jadikan belajar kegiatan menyenangkan lihat pemandangan ruangan,20.0,25.0,25.0,23.333333333333332
internet istirahat,5.0,5.0,10.0,6.666666666666667
berolahragakulinercurhatmelakukan bermanfaatmanjakan deadlineme timeubah lingkungan sekitaristirahat jenuhgabungkan tugas sukai,3.0,15.0,10.0,9.333333333333334
lakukan relaksasi terapi musik makan siang penyegaran,16.0,15.0,10.0,13.666666666666666
musik olahraga tertawa bersosialisasi tidur pendek hiruplah berbau enak pijat mandi,20.0,15.0,10.0,15.0
olah raga berliburan jalanjalan shoping musik tertawa bersosialisasi tidur,16.0,10.0,10.0,12.0
ruangan shalat meminum kopi main game mengobrol teman mendengarkan musik jalanjalan ruangan ruangan,22.0,20.0,25.0,22.333333333333332
tidur minum air putih cuci muka senam main game toilet jalan ruangan pohon,25.0,23.0,25.0,24.333333333333332
istirahat pergi kantin pergi lapangan pergi kamar mandi cuci muka cuci rambut mandi makan minum mendengarkan musik,19.0,26.0,25.0,23.333333333333332
mendengarkan musik main game membaca komik membaca novel makan minum jalanjalan menonton televisi onlinemenonton film mengedit foto,22.0,28.0,25.0,25.0
berwudhu breakfast tidur makan minum berncanda tawa nonton film mendengarkan music kegiatan sukai,12.0,20.0,25.0,19.0
tidur malam jam 10 bangun jam 5 sarapan minum kopi mendengarkan dosen duduk bersandar tidur,7.0,10.0,10.0,9.0
mendengarkan music ruangan mencari ruang terbuka menonton film bercanda teman berolahraga jalan jalan,12.0,15.0,10.0,12.333333333333334
pelemasan duduk komputer memanfaatkan istirahat baiknya tidur siang 15 menit,7.0,15.0,10.0,10.666666666666666
main game browsing menonton film curhat ngobrol main laptop lihat foto minum air kamar mandi,10.0,15.0,10.0,11.666666666666666
1 mendengarkan musik menenangkan bermanfaat sumber daya mental cobalah mengosongkan pikiran dengarkan musik komputer handphone 2 latihan aktivitas fisik merangsang tenaga menyegarkan pikiran disamping manfaat kesehatan 3 tertawa obat melawan kebosanan meningkatkan suasana hati mood kesejahteraan cobalah menonton lucu televisi membaca komik humor 4 latihan mental mainan puzzle teka teki silang otak menyukai permainan menyenangkan memeperkuat otak 5 sosialisasi interaksi manusia menjaga pikiran segar cobalah mengobrol berbicara temanteman situasi dialami 6 tidur siang menyegarkan pikiran fondasi kuat produktivitas produktif selesai tidur siang 7 mencium menyenangkan aroma lilin aromaterapi bau secangkir kopi panas memantu menyegarkan pikiran membuatnya 8 pemijatan pijat sempurna meredakan ketegangan mengurangi stres salahnya mencoba jenis pemijatan berbeda 9 berendam air hangat membantu otot pikiran rileks cobalah garam mandi membantu melembabkan kulit berbau harum 10 melamun jangka singkat melamun imajinasi menyegarkanpikiran fokus pekerjaan,82.0,90.0,90.0,87.33333333333333
istirahat ksempatan pemandangan hijau tarik napas perlahan teratur,7.0,5.0,10.0,7.333333333333333
1 mendengarkan musik 2 makan kantin 3 solat 4 mengobrol teman 5 browsing 6 main game istirahat 7 tidur istirahat 8 minum kopi,18.0,25.0,25.0,22.666666666666668
refreshing santai nyaman ngantuk makan minum berfikir positif berfikir negatif,15.0,20.0,25.0,20.0
